SCALED BULK SIGN ROW UNIT CWIN3P2 MID GENERIC
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head f49b2ed398b695c1fef404e86ee445596a91bbcf
unit codex_mid24_62p75_63_20260723
config CWIN 3/2 beta_order 24 t_order 25 min_dt 1/100000 prec 180
beta_domain 251/4 63
t_domain 3/5 654734467/210000000
cache_entries 291
dependency scripts/certify_surface_scaled_bulk_cwin3p2_mid_generic.py sha256 58a2964b44cfc9e868bd5e77448a53b91b05ec3a140e35d1d520576aeadc9dba
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-PREREG-20260722.md sha256 b3d2834255ecb83ff4ddb907b5d834daee958f2091f11b97c05b82657fa8814a
trow 12 14937548071/13440000000 1104734467/960000000 upper [-3.5093388839041164840606113635670993802216333846212211072227413260969161505193171e-17 +/- 1.53e-97]
trow 13 1104734467/960000000 31461299543/26880000000 upper [-1.6512783859072761324099746039254017325118454238491734164765068840244416203326368e-16 +/- 3.75e-97]
trow 14 31461299543/26880000000 1066334467/896000000 upper [-8.3503447497090717256332266757411644081166677780277810045779791164505838137320610e-17 +/- 2.92e-97]
trow 15 1066334467/896000000 32518768477/26880000000 upper [-4.1680445033002409914786813178979089402402515650702603345746699828699751221621912e-17 +/- 4.59e-97]
trow 16 32518768477/26880000000 1032734467/840000000 upper [-2.0535731427151785128168594423979864052766413476636294661841429981026303017116555e-17 +/- 1.95e-99]
trow 17 1032734467/840000000 11192079137/8960000000 upper [-9.9871712204912720208115930181319622595361961656360271711986841165298680430846917e-18 +/- 7.03e-99]
trow 18 11192079137/8960000000 17052485939/13440000000 upper [-4.7943793055371632491341945491189853620134447083463796042665136308714742537567807e-18 +/- 4.63e-98]
trow 19 17052485939/13440000000 989534467/768000000 upper [-2.2718587583022782189227283711881007520864699331440440496355269760627505499423923e-18 +/- 5.70e-99]
trow 20 989534467/768000000 2930203401/2240000000 upper [-1.0626470748738741146625672384423837427564181368398412747308363220494649313910657e-18 +/- 3.93e-98]
trow 21 2930203401/2240000000 35691175279/26880000000 upper [-4.9062924242653710969604678110147140141253502284850731817602300238961955121329014e-19 +/- 3.27e-100]
trow 22 35691175279/26880000000 18109954873/13440000000 upper [-2.2359923450208312273863107797466403145735965882663076271250315221167970152362665e-19 +/- 3.42e-99]
trow 23 18109954873/13440000000 12249548071/8960000000 upper [-1.0058502796451268986721779660142657135158289268118492179532451907812386539812504e-19 +/- 4.26e-100]
trow 24 12249548071/8960000000 931934467/672000000 upper [-4.4661541852408574609323794172843267243038225373076354716933376192612650368082839e-20 +/- 2.51e-100]
trow 25 931934467/672000000 37806113147/26880000000 upper [-1.9573111465657580454852840504778852367223626601656479317803624362199610879464084e-20 +/- 1.88e-100]
trow 26 37806113147/26880000000 912734467/640000000 upper [-8.4663781707061088579567022144083170069743549534015450614622828491128980288189825e-21 +/- 1.63e-101]
trow 27 912734467/640000000 38863582081/26880000000 upper [-3.6143348071915764804130557404387114699811449067266356312068629665674773876649695e-21 +/- 3.06e-101]
trow 28 38863582081/26880000000 9848079137/6720000000 upper [-1.5227566476181979641125940485490093967500611889961460227687550843927322404767374e-21 +/- 3.79e-101]
trow 29 9848079137/6720000000 2661403401/1792000000 upper [-6.3310794557799038322854478953352363452875657017200168899822500071835699663832374e-22 +/- 9.98e-104]
trow 30 2661403401/1792000000 20224892741/13440000000 upper [-2.5973998533103746537268427651615504818202184497775668598378727163629792602317548e-22 +/- 4.05e-102]
trow 31 20224892741/13440000000 40978519949/26880000000 upper [-1.0514215804381158066192863691467059946727928402957993269904082988389819344529205e-22 +/- 2.27e-102]
trow 32 40978519949/26880000000 864734467/560000000 upper [-4.1990114221999054970794933355804207887984038858722280657992775750723806344236924e-23 +/- 1.31e-103]
trow 33 864734467/560000000 6005141269/3840000000 upper [-1.6542366076743886559161619220909362571551936839242581867669079777009042903259195e-23 +/- 2.23e-103]
