SCALED BULK SIGN ROW UNIT CWIN3P2 MID COVER
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head c2f03caa5af73629f584b41c756dd4a43b243b23
unit mid_cover_08_201_4_101_2
config CWIN 3/2 beta_order 20 t_order 25 min_dt 1/100000 prec 180
beta_domain 201/4 101/2
t_domain 3/5 3143008627/1010000000
cache_entries 257
dependency scripts/run_surface_scaled_bulk_cwin3p2_mid_cover.py sha256 ec105ab8a24be741cc3dc7f5d3dd77a684f1234c1cdc7b15062b8dcb5c980249
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-COVER-48P25-69-PREREG-20260722.md sha256 40149697fbb5dc15822b7346c3218bb59789095b37107dc13869f2414a90ee9e
trow 22 38346677643/25856000000 97135198421/64640000000 upper [-4.8596440743666773943119538731244278227719974653115280456391367049506510908633526e-19 +/- 3.32e-99]
trow 23 97135198421/64640000000 196807405469/129280000000 upper [-2.4025651847656953264012084364560505674044877807265461917813176336186430496897470e-19 +/- 3.19e-99]
trow 24 196807405469/129280000000 12459025881/8080000000 upper [-1.1759135503861767752404787157191398973002814706931162073435652069869582424267705e-19 +/- 1.91e-99]
trow 25 12459025881/8080000000 201881422723/129280000000 upper [-5.6977801718540183196300265131268059664911723846714329934129646635192555575014055e-20 +/- 2.80e-100]
trow 26 201881422723/129280000000 4088368627/2585600000 upper [-2.7331632488108312142815537146284079544141452036487659436169605097123693667142398e-20 +/- 4.63e-100]
trow 27 4088368627/2585600000 206955439977/129280000000 upper [-1.2979363093637130447359789231943008678119737550940758623264273173985160139798731e-20 +/- 4.10e-100]
trow 28 206955439977/129280000000 52373112151/32320000000 upper [-6.1019149609081067059213640700901544234686783718188137000348270599279401167912607e-21 +/- 5.94e-102]
trow 29 52373112151/32320000000 212029457231/129280000000 upper [-2.8398770028775124560764687267394364620053790888906029449630218850017380725575533e-21 +/- 3.68e-103]
trow 30 212029457231/129280000000 107283232929/64640000000 upper [-1.3084213144095575905159931609197097463436500469129067038766749549003843545109830e-21 +/- 3.57e-101]
trow 31 107283232929/64640000000 43420694897/25856000000 upper [-5.9676419965587173717330981162470132335530461996283808135712282988382001013587816e-22 +/- 1.87e-103]
trow 32 43420694897/25856000000 27455060389/16160000000 upper [-2.6943609322151532750047039711695437449930693866048259378256757998014075452008333e-22 +/- 8.08e-103]
trow 33 27455060389/16160000000 222177491739/129280000000 upper [-1.2041882161328503884813607344834758763245619567990465734433344660600444582931648e-22 +/- 4.86e-102]
