SCALED BULK SIGN ROW UNIT CWIN3P2 MID GENERIC
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head bc5b6375cf9744e2b0e2cbfd033b86bdc9facfaf
unit codex-mid24-48p5-48p75-20260723
config CWIN 3/2 beta_order 24 t_order 25 min_dt 1/100000 prec 180
beta_domain 97/2 195/4
t_domain 3/5 404407051/130000000
cache_entries 261
dependency scripts/certify_surface_scaled_bulk_cwin3p2_mid_generic.py sha256 58a2964b44cfc9e868bd5e77448a53b91b05ec3a140e35d1d520576aeadc9dba
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-PREREG-20260722.md sha256 b3d2834255ecb83ff4ddb907b5d834daee958f2091f11b97c05b82657fa8814a
trow 12 1977621153/1664000000 638407051/520000000 upper [-3.3382219298954733772511977703632004959377402117232985866912516852314760977454231e-15 +/- 2.11e-95]
trow 13 638407051/520000000 10540919867/8320000000 upper [-9.8181621329689945991922651316464405492757079695601494497272902370675056612047396e-16 +/- 2.79e-96]
trow 14 10540919867/8320000000 5433663459/4160000000 upper [-2.6710935432714217587759370904794146151393558905489598743677445161450740914496209e-16 +/- 1.08e-96]
trow 15 5433663459/4160000000 11193733969/8320000000 upper [-6.5742449626855258782403455875391988004453647550317955321978345473033318421035442e-17 +/- 7.81e-98]
trow 16 11193733969/8320000000 576007051/416000000 upper [-1.3933688899706197053750409432272452848491033267028629259977795345253114920252258e-17 +/- 1.27e-97]
trow 17 576007051/416000000 11846548071/8320000000 upper [-2.1843268759881667660214224588147057024843089490091646450033586889250383563892867e-18 +/- 4.05e-98]
trow 18 11846548071/8320000000 6086477561/4160000000 upper [-4.4922478056858637222173369648619594158717082251806425602807643062075080139987063e-20 +/- 1.64e-100]
trow 19 6086477561/4160000000 4934463459/3328000000 upper [-2.7039925680354239301014234224260259016378368436908340159502189276606585452434946e-18 +/- 3.50e-99]
trow 20 4934463459/3328000000 12499362173/8320000000 upper [-1.3869617727907993096832838867780044728672694418498783818712159397900098526286137e-18 +/- 9.24e-99]
trow 21 12499362173/8320000000 25325131397/16640000000 upper [-7.0456375283145389618931526918148602713759803741365901483988514131250726821169955e-19 +/- 2.65e-100]
trow 22 25325131397/16640000000 1603221153/1040000000 upper [-3.5446744201241290691900449122242865096982089460147434522274096128383526746014935e-19 +/- 4.94e-99]
trow 23 1603221153/1040000000 25977945499/16640000000 upper [-1.7661812897605708779417715788567309963435847233003987194381047070384751158314680e-19 +/- 3.78e-99]
trow 24 25977945499/16640000000 526087051/332800000 upper [-8.7156318337638584608148961789887010328938843697484806630339868631225234421499770e-20 +/- 1.83e-100]
trow 25 526087051/332800000 26630759601/16640000000 upper [-4.2595920038103756517291429734413517607503598315706639255339436191825133880645571e-20 +/- 1.51e-100]
trow 26 26630759601/16640000000 518407051/320000000 upper [-2.0617810131855716041982930736327325390970659962177240542274409456999622852903829e-20 +/- 7.39e-101]
trow 27 518407051/320000000 27283573703/16640000000 upper [-9.8837395247950954429561457835307521356874320939443423171436033601607313783725185e-21 +/- 1.70e-101]
trow 28 27283573703/16640000000 13804990377/8320000000 upper [-4.6924743825201111394744790407321552609612631812391418656079715098725084641666800e-21 +/- 4.75e-101]
trow 29 13804990377/8320000000 5587277561/3328000000 upper [-2.2063822140637125062835697430520988393961887106053147606997683204986361380930419e-21 +/- 1.34e-101]
trow 30 5587277561/3328000000 3532849357/2080000000 upper [-1.0274312623393054653453171042249129150313714332256644284178654249523726522339613e-21 +/- 2.83e-101]
trow 31 3532849357/2080000000 28589201907/16640000000 upper [-4.7381782365028759334892657609569846257183141465884792557329288128641410990175358e-22 +/- 1.77e-102]
trow 32 28589201907/16640000000 14457804479/8320000000 upper [-2.1639553321458027877545326815616707480670495930323239560412928559544138655699882e-22 +/- 1.15e-102]
trow 33 14457804479/8320000000 29242016009/16640000000 upper [-9.7870818379991953927929710833921982408134514070860931154170908824700820930642407e-23 +/- 2.59e-103]
trow 34 29242016009/16640000000 1478421153/832000000 upper [-4.3834272244925226332241655447955503727621325348018936685165889142733901647684716e-23 +/- 6.05e-104]
trow 35 1478421153/832000000 29894830111/16640000000 upper [-1.9440849193815726725159717410467921687832773736411806706840407727734093540281570e-23 +/- 3.14e-103]
trow 36 29894830111/16640000000 15110618581/8320000000 upper [-8.5376814431269907611721527557750577492810129486112845042225585590642320752984579e-24 +/- 8.24e-105]
trow 37 15110618581/8320000000 30547644213/16640000000 upper [-3.7125071613413993965361004885785392744236555134117106700988924850708240536825035e-24 +/- 1.15e-104]
trow 38 30547644213/16640000000 482407051/260000000 upper [-1.5983563436294687765144720784349822444250936438720645383886391665266771890052967e-24 +/- 4.19e-104]
trow 39 482407051/260000000 480007051/256000000 upper [-6.8128632814283600068446678312792238850708311794083588288673898030175248968890506e-25 +/- 3.67e-105]
trow 40 480007051/256000000 15763432683/8320000000 upper [-2.8747691855015156215816891595854346933521895921221168185159182760300370569406721e-25 +/- 1.55e-105]
trow 41 15763432683/8320000000 31853272417/16640000000 upper [-1.2007570108797585943479262297492672344450623841194568006683573613803811873000913e-25 +/- 1.82e-105]
trow 42 31853272417/16640000000 8044919867/4160000000 upper [-4.9641100130882809960102088466342241484711392908120616796325649495695614392665298e-26 +/- 4.57e-106]
trow 43 8044919867/4160000000 32506086519/16640000000 upper [-2.0309981842985755296669054409340329467829757551406254695995562189544069270818539e-26 +/- 1.32e-106]
trow 44 32506086519/16640000000 3283249357/1664000000 upper [-8.2224131618210916370532130118746599359469580592728054196376605700689549924085018e-27 +/- 4.07e-107]
trow 45 3283249357/1664000000 33158900621/16640000000 upper [-3.2933491295028753986821389039708562798980668589926134656831169741362959791398450e-27 +/- 3.54e-108]
trow 46 33158900621/16640000000 4185663459/2080000000 upper [-1.3047924378173538494051701321869387443738714065283528780124275526137288784325736e-27 +/- 3.36e-107]
trow 47 4185663459/2080000000 33811714723/16640000000 upper [-5.1122337261040228624214751504131401870514670836166214974915602417198493572102984e-28 +/- 3.95e-108]
trow 48 33811714723/16640000000 17069060887/8320000000 upper [-1.9802879499482522709852315622362886513102551081081591344107294863060472647880475e-28 +/- 4.04e-108]
trow 49 17069060887/8320000000 1378581153/665600000 upper [-7.5814301581190580656794848715255837043652714221246351259773526318119926187118336e-29 +/- 1.43e-109]
trow 50 1378581153/665600000 8697733969/4160000000 upper [-2.8675386978227776893558363816332728233262267573765942799081834957293050026316060e-29 +/- 3.73e-109]
trow 51 8697733969/4160000000 35117342927/16640000000 upper [-1.0710170014305556060345827721524039176942299447408903031322860199133597087783240e-29 +/- 1.32e-109]
trow 52 35117342927/16640000000 1363221153/640000000 upper [-3.9478008274975275932480953488774483146947118390340236363258301423429781499600678e-30 +/- 4.73e-110]
trow 53 1363221153/640000000 35770157029/16640000000 upper [-1.4350566344580722153523562012902966271149211721154980482518508648933149870277665e-30 +/- 3.09e-110]
trow 54 35770157029/16640000000 451207051/208000000 upper [-5.1396997683355934965958482408998295870104502255740393566913837375342473542554779e-31 +/- 3.89e-111]
trow 55 451207051/208000000 36422971131/16640000000 upper [-1.8115184910213260919954180653263256804965363933541662817562056926157470415762549e-31 +/- 8.65e-112]
trow 56 36422971131/16640000000 18374689091/8320000000 upper [-6.2734665086678456128044092513360203404184370004632768147123305635398693102253022e-32 +/- 3.80e-112]
